id,title,description,content,context,example,tags,tag,priority,status,related_definitions,related_relationships
JAGA-001,"Afspraak","Vastgelegde verplichting tussen partijen.","Inhoud voor Afspraak","Context voor Afspraak","Voorbeeld Afspraak","JAGA|Kern","Legal",low,draft,"",""
JAGA-002,"Doelbinding","Gebruik van data voor specifiek doel.","Inhoud voor Doelbinding","Context voor Doelbinding","Voorbeeld Doelbinding","JAGA|Kern","Legal",normal,in_review,"Afspraak","gerelateerd_aan -> Afspraak"
JAGA-003,"Wettelijke grondslag","Juridische basis voor gegevensverwerking.","Inhoud voor Wettelijke grondslag","Context voor Wettelijke grondslag","Voorbeeld Wettelijke grondslag","JAGA|Kern","Legal",high,approved,"Doelbinding","gerelateerd_aan -> Doelbinding"
JAGA-004,"GLP","Protocol voor gegevenslevering tussen instanties.","Inhoud voor GLP","Context voor GLP","Voorbeeld GLP","JAGA|Kern","Legal",critical,rejected,"Wettelijke grondslag","gerelateerd_aan -> Wettelijke grondslag"
JAGA-005,"GLS","Specificatie van te leveren gegevens.","Inhoud voor GLS","Context voor GLS","Voorbeeld GLS","JAGA|Kern","Legal",low,archived,"GLP","gerelateerd_aan -> GLP"
JAGA-006,"Proces-verbaal","Officieel verslag van een opsporingsambtenaar.","Inhoud voor Proces-verbaal","Context voor Proces-verbaal","Voorbeeld Proces-verbaal","JAGA|Kern","Legal",normal,draft,"GLS","gerelateerd_aan -> GLS"
JAGA-007,"Dagvaarding","Oproep om voor de rechter te verschijnen.","Inhoud voor Dagvaarding","Context voor Dagvaarding","Voorbeeld Dagvaarding","JAGA|Kern","Legal",high,in_review,"Proces-verbaal","gerelateerd_aan -> Proces-verbaal"
JAGA-008,"Justitiële Documentatie","Centraal register van strafrechtelijke gegevens.","Inhoud voor Justitiële Documentatie","Context voor Justitiële Documentatie","Voorbeeld Justitiële Documentatie","JAGA|Kern","Legal",critical,approved,"Dagvaarding","gerelateerd_aan -> Dagvaarding"
JAGA-009,"Beperking","Tijdelijke stop op gegevensverwerking.","Inhoud voor Beperking","Context voor Beperking","Voorbeeld Beperking","JAGA|Kern","Legal",low,rejected,"Justitiële Documentatie","gerelateerd_aan -> Justitiële Documentatie"
JAGA-010,"Revisie","Gecontroleerde wijziging van een document.","Inhoud voor Revisie","Context voor Revisie","Voorbeeld Revisie","JAGA|Kern","Legal",normal,archived,"Beperking","gerelateerd_aan -> Beperking"
JAGA-011,"Grondslag","Rechtvaardiging voor dataverwerking.","Inhoud voor Grondslag","Context voor Grondslag","Voorbeeld Grondslag","JAGA|Kern","Legal",high,draft,"Revisie","gerelateerd_aan -> Revisie"
JAGA-012,"Doel","Beoogd resultaat van de verwerking.","Inhoud voor Doel","Context voor Doel","Voorbeeld Doel","JAGA|Kern","Legal",critical,in_review,"Grondslag","gerelateerd_aan -> Grondslag"
JAGA-013,"PIA","Toets op privacyrisico's van een systeem.","Inhoud voor PIA","Context voor PIA","Voorbeeld PIA","JAGA|Kern","Legal",low,approved,"Doel","gerelateerd_aan -> Doel"
JAGA-014,"DPIA","Uitgebreide risicoanalyse voor privacy.","Inhoud voor DPIA","Context voor DPIA","Voorbeeld DPIA","JAGA|Kern","Legal",normal,rejected,"PIA","gerelateerd_aan -> PIA"
JAGA-015,"FG","Toezichthouder op databescherming.","Inhoud voor FG","Context voor FG","Voorbeeld FG","JAGA|Kern","Legal",high,archived,"DPIA","gerelateerd_aan -> DPIA"
JAGA-016,"Toestemming","Vrije en expliciete wilsuiting van betrokkene.","Inhoud voor Toestemming","Context voor Toestemming","Voorbeeld Toestemming","JAGA|Kern","Legal",critical,draft,"FG","gerelateerd_aan -> FG"
JAGA-017,"Belang","Gerechtvaardigde reden voor verwerking.","Inhoud voor Belang","Context voor Belang","Voorbeeld Belang","JAGA|Kern","Legal",low,in_review,"Toestemming","gerelateerd_aan -> Toestemming"
JAGA-018,"Vitaal belang","Noodzakelijk voor iemands leven.","Inhoud voor Vitaal belang","Context voor Vitaal belang","Voorbeeld Vitaal belang","JAGA|Kern","Legal",normal,approved,"Belang","gerelateerd_aan -> Belang"
JAGA-019,"Taak","Wettelijk opgedragen publieke functie.","Inhoud voor Taak","Context voor Taak","Voorbeeld Taak","JAGA|Kern","Legal",high,rejected,"Vitaal belang","gerelateerd_aan -> Vitaal belang"
JAGA-020,"Contract","Overeenkomst met juridische werking.","Inhoud voor Contract","Context voor Contract","Voorbeeld Contract","JAGA|Kern","Legal",critical,archived,"Taak","gerelateerd_aan -> Taak"
JAGA-021,"Categorie","Groepering van soortgelijke gegevens.","Inhoud voor Categorie","Context voor Categorie","Voorbeeld Categorie","JAGA|Kern","Legal",low,draft,"Contract","gerelateerd_aan -> Contract"
