id,title,description,content,context,example,tags,tag,priority,status,related_definitions,related_relationships
JAGA-EN-001,"Agreement","Recorded obligation between parties.","Content for Agreement","Context for Agreement","Example showing Agreement","JAGA|Legal|English","Legal",low,draft,"",""
JAGA-EN-002,"Purpose Limitation","Data usage restricted to specified goals.","Content for Purpose Limitation","Context for Purpose Limitation","Example showing Purpose Limitation","JAGA|Legal|English","Legal",normal,in_review,"Agreement","related_to -> Agreement"
JAGA-EN-003,"Lawful Basis","Legal justification for data processing.","Content for Lawful Basis","Context for Lawful Basis","Example showing Lawful Basis","JAGA|Legal|English","Legal",high,approved,"Purpose Limitation","related_to -> Purpose Limitation"
JAGA-EN-004,"DDP","Protocol for data delivery between agencies.","Content for DDP","Context for DDP","Example showing DDP","JAGA|Legal|English","Legal",critical,rejected,"Lawful Basis","related_to -> Lawful Basis"
JAGA-EN-005,"DDS","Specification for data to be delivered.","Content for DDS","Context for DDS","Example showing DDS","JAGA|Legal|English","Legal",low,archived,"DDP","related_to -> DDP"
JAGA-EN-006,"Official Report","Formal record of investigation.","Content for Official Report","Context for Official Report","Example showing Official Report","JAGA|Legal|English","Legal",normal,draft,"DDS","related_to -> DDS"
JAGA-EN-007,"Summons","Order to appear before a court.","Content for Summons","Context for Summons","Example showing Summons","JAGA|Legal|English","Legal",high,in_review,"Official Report","related_to -> Official Report"
JAGA-EN-008,"Criminal Records","Central registry of judicial data.","Content for Criminal Records","Context for Criminal Records","Example showing Criminal Records","JAGA|Legal|English","Legal",critical,approved,"Summons","related_to -> Summons"
JAGA-EN-009,"Restriction","Temporary hold on data processing.","Content for Restriction","Context for Restriction","Example showing Restriction","JAGA|Legal|English","Legal",low,rejected,"Criminal Records","related_to -> Criminal Records"
JAGA-EN-010,"Revision","Controlled update of a formal document.","Content for Revision","Context for Revision","Example showing Revision","JAGA|Legal|English","Legal",normal,archived,"Restriction","related_to -> Restriction"
JAGA-EN-011,"Basis","Formal justification for handling data.","Content for Basis","Context for Basis","Example showing Basis","JAGA|Legal|English","Legal",high,draft,"Revision","related_to -> Revision"
JAGA-EN-012,"Purpose","Intended result of data processing.","Content for Purpose","Context for Purpose","Example showing Purpose","JAGA|Legal|English","Legal",critical,in_review,"Basis","related_to -> Basis"
JAGA-EN-013,"PIA","Check for privacy risks within a system.","Content for PIA","Context for PIA","Example showing PIA","JAGA|Legal|English","Legal",low,approved,"Purpose","related_to -> Purpose"
JAGA-EN-014,"DPIA","Comprehensive privacy impact assessment.","Content for DPIA","Context for DPIA","Example showing DPIA","JAGA|Legal|English","Legal",normal,rejected,"PIA","related_to -> PIA"
JAGA-EN-015,"DPO","Supervisor of data protection compliance.","Content for DPO","Context for DPO","Example showing DPO","JAGA|Legal|English","Legal",high,archived,"DPIA","related_to -> DPIA"
JAGA-EN-016,"Consent","Free and explicit expression of will.","Content for Consent","Context for Consent","Example showing Consent","JAGA|Legal|English","Legal",critical,draft,"DPO","related_to -> DPO"
JAGA-EN-017,"Interest","Legitimate reason for processing data.","Content for Interest","Context for Interest","Example showing Interest","JAGA|Legal|English","Legal",low,in_review,"Consent","related_to -> Consent"
JAGA-EN-018,"Vital Interest","Necessary for protection of life.","Content for Vital Interest","Context for Vital Interest","Example showing Vital Interest","JAGA|Legal|English","Legal",normal,approved,"Interest","related_to -> Interest"
JAGA-EN-019,"Public Task","Function derived from public law.","Content for Public Task","Context for Public Task","Example showing Public Task","JAGA|Legal|English","Legal",high,rejected,"Vital Interest","related_to -> Vital Interest"
JAGA-EN-020,"Contract","Agreement with legal effect.","Content for Contract","Context for Contract","Example showing Contract","JAGA|Legal|English","Legal",critical,archived,"Public Task","related_to -> Public Task"
JAGA-EN-021,"Category","Grouping of similar data types.","Content for Category","Context for Category","Example showing Category","JAGA|Legal|English","Legal",low,draft,"Contract","related_to -> Contract"
JAGA-EN-022,"Personal Data","Information linked to an individual.","Content for Personal Data","Context for Personal Data","Example showing Personal Data","JAGA|Legal|English","Legal",normal,in_review,"Category","related_to -> Category"
JAGA-EN-023,"Special Category","Sensitive data like race or religion.","Content for Special Category","Context for Special Category","Example showing Special Category","JAGA|Legal|English","Legal",high,approved,"Personal Data","related_to -> Personal Data"
JAGA-EN-024,"Criminal Data","Data on crimes or convictions.","Content for Criminal Data","Context for Criminal Data","Example showing Criminal Data","JAGA|Legal|English","Legal",critical,rejected,"Special Category","related_to -> Special Category"
JAGA-EN-025,"Pseudonymization","Replacing identifiers with aliases.","Content for Pseudonymization","Context for Pseudonymization","Example showing Pseudonymization","JAGA|Legal|English","Legal",low,archived,"Criminal Data","related_to -> Criminal Data"
JAGA-EN-026,"Anonymization","Irreversible de-identification of data.","Content for Anonymization","Context for Anonymization","Example showing Anonymization","JAGA|Legal|English","Legal",normal,draft,"Pseudonymization","related_to -> Pseudonymization"
JAGA-EN-027,"Encryption","Securing digital files via encoding.","Content for Encryption","Context for Encryption","Example showing Encryption","JAGA|Legal|English","Legal",high,in_review,"Anonymization","related_to -> Anonymization"
JAGA-EN-028,"Authorization","Granting of specific access rights.","Content for Authorization","Context for Authorization","Example showing Authorization","JAGA|Legal|English","Legal",critical,approved,"Encryption","related_to -> Encryption"
JAGA-EN-029,"Access Management","Process of identity and rights control.","Content for Access Management","Context for Access Management","Example showing Access Management","JAGA|Legal|English","Legal",low,rejected,"Authorization","related_to -> Authorization"
JAGA-EN-030,"Logging","Recording system events and access.","Content for Logging","Context for Logging","Example showing Logging","JAGA|Legal|English","Legal",normal,archived,"Access Management","related_to -> Access Management"
JAGA-EN-031,"Audit Trail","Traceable history of system actions.","Content for Audit Trail","Context for Audit Trail","Example showing Audit Trail","JAGA|Legal|English","Legal",high,draft,"Logging","related_to -> Logging"
JAGA-EN-032,"Retention Period","Timeframe for keeping stored data.","Content for Retention Period","Context for Retention Period","Example showing Retention Period","JAGA|Legal|English","Legal",critical,in_review,"Audit Trail","related_to -> Audit Trail"
JAGA-EN-033,"Deletion","Purging data from storage systems.","Content for Deletion","Context for Deletion","Example showing Deletion","JAGA|Legal|English","Legal",low,approved,"Retention Period","related_to -> Retention Period"
JAGA-EN-034,"Right to Rectify","Right to correct inaccurate personal data.","Content for Right to Rectify","Context for Right to Rectify","Example showing Right to Rectify","JAGA|Legal|English","Legal",normal,rejected,"Deletion","related_to -> Deletion"
JAGA-EN-035,"Right of Access","Right to view one's own data.","Content for Right of Access","Context for Right of Access","Example showing Right of Access","JAGA|Legal|English","Legal",high,archived,"Right to Rectify","related_to -> Right to Rectify"
JAGA-EN-036,"Portability","Transferring data between providers.","Content for Portability","Context for Portability","Example showing Portability","JAGA|Legal|English","Legal",critical,draft,"Right of Access","related_to -> Right of Access"
JAGA-EN-037,"Right to Erase","Right to have personal data deleted.","Content for Right to Erase","Context for Right to Erase","Example showing Right to Erase","JAGA|Legal|English","Legal",low,in_review,"Portability","related_to -> Portability"
JAGA-EN-038,"Complaint","Reporting grievances to authorities.","Content for Complaint","Context for Complaint","Example showing Complaint","JAGA|Legal|English","Legal",normal,approved,"Right to Erase","related_to -> Right to Erase"
JAGA-EN-039,"Due Care","Standard of responsible conduct.","Content for Due Care","Context for Due Care","Example showing Due Care","JAGA|Legal|English","Legal",high,rejected,"Complaint","related_to -> Complaint"
JAGA-EN-040,"Transparency","Insight into processing operations.","Content for Transparency","Context for Transparency","Example showing Transparency","JAGA|Legal|English","Legal",critical,archived,"Due Care","related_to -> Due Care"
JAGA-EN-041,"Minimization","Using only strictly necessary data.","Content for Minimization","Context for Minimization","Example showing Minimization","JAGA|Legal|English","Legal",low,draft,"Transparency","related_to -> Transparency"
JAGA-EN-042,"Storage Limit","Minimizing data storage duration.","Content for Storage Limit","Context for Storage Limit","Example showing Storage Limit","JAGA|Legal|English","Legal",normal,in_review,"Minimization","related_to -> Minimization"
JAGA-EN-043,"Integrity","Protection against unauthorized changes.","Content for Integrity","Context for Integrity","Example showing Integrity","JAGA|Legal|English","Legal",high,approved,"Storage Limit","related_to -> Storage Limit"
JAGA-EN-044,"Accountability","Demonstrating legal compliance.","Content for Accountability","Context for Accountability","Example showing Accountability","JAGA|Legal|English","Legal",critical,rejected,"Integrity","related_to -> Integrity"
JAGA-EN-045,"ROPA","Record of processing activities.","Content for ROPA","Context for ROPA","Example showing ROPA","JAGA|Legal|English","Legal",low,archived,"Accountability","related_to -> Accountability"
JAGA-EN-046,"Controller","Party determining purpose and means.","Content for Controller","Context for Controller","Example showing Controller","JAGA|Legal|English","Legal",normal,draft,"ROPA","related_to -> ROPA"
JAGA-EN-047,"Processor","Party handling data for a controller.","Content for Processor","Context for Processor","Example showing Processor","JAGA|Legal|English","Legal",high,in_review,"Controller","related_to -> Controller"
JAGA-EN-048,"DPA","Agreement between controller and processor.","Content for DPA","Context for DPA","Example showing DPA","JAGA|Legal|English","Legal",critical,approved,"Processor","related_to -> Processor"
JAGA-EN-049,"Data Breach","Unauthorized access to personal data.","Content for Data Breach","Context for Data Breach","Example showing Data Breach","JAGA|Legal|English","Legal",low,rejected,"DPA","related_to -> DPA"
JAGA-EN-050,"Breach Notification","Requirement to report data breaches.","Content for Breach Notification","Context for Breach Notification","Example showing Breach Notification","JAGA|Legal|English","Legal",normal,archived,"Data Breach","related_to -> Data Breach"
FDS-EN-051,"FDS","Framework for federated data exchange.","Content for FDS","Context for FDS","Example showing FDS","FDS|Legal|English","Data",high,draft,"Breach Notification","related_to -> Breach Notification"
FDS-EN-052,"Provider","Party providing technical data access.","Content for Provider","Context for Provider","Example showing Provider","FDS|Legal|English","Data",critical,in_review,"FDS","related_to -> FDS"
FDS-EN-053,"Consumer","Party utilizing provided backend data.","Content for Consumer","Context for Consumer","Example showing Consumer","FDS|Legal|English","Data",low,approved,"Provider","related_to -> Provider"
FDS-EN-054,"Agreement Framework","Shared rules for trustworthy data.","Content for Agreement Framework","Context for Agreement Framework","Example showing Agreement Framework","FDS|Legal|English","Data",normal,rejected,"Consumer","related_to -> Consumer"
FDS-EN-055,"Interoperability","Seamless collaboration between systems.","Content for Interoperability","Context for Interoperability","Example showing Interoperability","FDS|Legal|English","Data",high,archived,"Agreement Framework","related_to -> Agreement Framework"
FDS-EN-056,"Dataset","Collection of related data records.","Content for Dataset","Context for Dataset","Example showing Dataset","FDS|Legal|English","Data",critical,draft,"Interoperability","related_to -> Interoperability"
FDS-EN-057,"Stencil","Template for standardized data output.","Content for Stencil","Context for Stencil","Example showing Stencil","FDS|Legal|English","Data",low,in_review,"Dataset","related_to -> Dataset"
FDS-EN-058,"Profile","Specific application of a standard.","Content for Profile","Context for Profile","Example showing Profile","FDS|Legal|English","Data",normal,approved,"Stencil","related_to -> Stencil"
FDS-EN-059,"Metadata","Data providing context about other data.","Content for Metadata","Context for Metadata","Example showing Metadata","FDS|Legal|English","Data",high,rejected,"Profile","related_to -> Profile"
FDS-EN-060,"DCAT-AP","Standard for describing data catalogues.","Content for DCAT-AP","Context for DCAT-AP","Example showing DCAT-AP","FDS|Legal|English","Data",critical,archived,"Metadata","related_to -> Metadata"
